voteFoodUp,voteFoodDown,voteFoodLeft,voteFoodRight,voteGhostUp,voteGhostDown,voteGhosLeft,voteGhostRight,labelNextAction
0,0.6210000000000001,0.17000000000000004,1.274,0,-0.15,0.0,0.0,East
0,0,0.3720000000000002,1.27,0,0,-0.133,0.0,East
0,0,0.2250000000000001,1.225,0,0,-0.066,0.0,East
0,1.2219999999999998,0.14700000000000008,0,0,0.0,-0.048,0,South
0.10400000000000005,0.4020000000000001,0,0,-0.037000000000000005,0.0,0,0,South
0.06300000000000003,0.4190000000000001,0,0,-0.034,0.0,0,0,South
0.0,0.4360000000000001,0,0,0.0,-0.028999999999999998,0,0,South
0.0,0,0.46400000000000013,0,0.0,0,-0.059,0,West
0,0,0.4890000000000001,0.0,0,0,-0.115,0.0,West
0,0,0.5770000000000001,0.0,0,0,-0.274,0.0,West
1.25,0,0.43100000000000016,0.0,-0.584,0,0.0,0.0,North
1.0809999999999997,0.2290000000000001,0,0,-1.6,0.0,0,0,South
0.25,0,0.43100000000000016,0.0,-1.563,0,-0.1,0.0,West
0,0,0.21900000000000008,0.063,0,0,-0.292,-0.8,West
0.21500000000000002,0,0.13300000000000006,0.04,0.0,0,-1.563,-0.8,North
0.3760000000000001,0.10400000000000001,0,0,0.0,-2.363,0,0,North
0.04,0.056999999999999995,0.6150000000000001,0,0.0,-2.363,0.0,0,West
0,0,0.6500000000000001,0.046,0,0,0.0,-2.363,West
0,0,0.6080000000000002,0.028,0,0,0.0,-1.2630000000000001,West
0.0,0,0.7110000000000002,0.012,0.0,0,0.0,-0.332,West
0.0,0,0.7800000000000002,0.012,0.0,0,0.0,-0.2,West
0,0,0.9630000000000004,0.0,0,0,-0.1,-0.1,West
0,0,0.9430000000000004,0.0,0,0,-0.195,-0.075,West
2.12,1.373,0,0.0,0.0,-0.8,0,-0.046,North
1.429,0.449,0.857,0,0.0,-0.8240000000000001,0.0,0,North
0,0.4890000000000001,0.845,0,0,-0.8170000000000001,0.0,0,West
0,1.532,0.726,0.068,0,-0.584,0.0,0.0,South
0.401,0,0.726,0.179,0.0,0,-0.463,-0.011,North
0,0.532,0.726,0.068,0,-0.292,-0.195,0.0,West
0,1.58,0.492,0.096,0,-0.303,0.0,0.0,South
0.465,1.485,0,0.076,0.0,-0.20600000000000002,0,0.0,South
0.26599999999999996,1.425,0.0,0,0.0,-0.20800000000000002,0.0,0,South
0.10400000000000001,0.794,0,0,0.0,-0.215,0,0,South
0.064,0,0.52,1.277,0.0,0,-0.195,-0.036,East
0,0,0.275,1.424,0,0,-0.2,0.0,East
1.06,0,0.16300000000000003,1.111,-0.137,0,0.0,-0.137,North
0.108,0.25,0,0,-0.584,0.0,0,0,South
0.06,0,0.16300000000000003,1.111,-0.292,0,0.0,-0.463,East
0,0,0.10700000000000004,1.0,0,0,-0.195,-1.563,West
0.06,0,0.16300000000000003,0.111,-0.8,0,0.0,-1.563,West
0,0,0.275,0.063,0,0,0.0,-2.363,West
0.064,0,0.52,0.04,-0.292,0,0.0,-1.563,West
0,0,0.47500000000000003,0.056,0,0,0.0,-1.855,West
0,0,0.41100000000000003,0.024,0,0,0.0,-0.487,West
1.197,0,0,0.009000000000000001,0.0,0,0,-0.10400000000000001,North
1.183,0.006,0,0,-0.08199999999999999,0.0,0,0,North
1.171,0.006,0,0,-0.133,0.0,0,0,North
1.153,0.004,0,0,-0.429,0.0,0,0,North
0,0.004,0,0.317,0,0.0,0,-0.429,East
0,0,0.0,1.0139999999999998,0,0,0.0,-0.926,East
0,0,0.0,0.02,0,0,0.0,-2.363,West
0,0,0.0,0.014,0,0,0.0,-1.2630000000000001,West
0,0.004,0,0.004,0,0.0,0,-0.332,South
0.002,0.004,0,0,-0.29500000000000004,0.0,0,0,South
0.0,0.006,0,0,-0.183,0.0,0,0,South
0.0,0.006,0,0,-0.058,-0.046,0,0,South
0.0,0,0,0.009000000000000001,-0.046,0,0,-0.1,East
0,0,0.0,0.014,0,0,0.0,-0.5630000000000001,West
0.0,0,0,0.009000000000000001,0.0,0,0,-0.15,North
0.0,0.006,0,0,-0.075,-0.058,0,0,North
0.0,0.006,0,0,-0.137,-0.024,0,0,South
0.0,0.006,0,0,-0.137,-0.017,0,0,South
0.0,0,0,0.009000000000000001,-0.195,0,0,-0.02,East
0,0,0.0,0.014,0,0,-0.195,-0.03,East
0,0,0.0,0.023,0,0,-0.292,-0.046,East
0.0,0,0.0,0.044,0.0,0,-0.463,-0.058,North
0.0,0.031,0,0,-0.036,-0.292,0,0,North
0.003,0.016,0.0,0,-0.046,-0.292,0.0,0,West
0,0,0,0.0,0,0,0,0.0,East
0.003,0.016,0.0,0,-0.058,-0.8,0.0,0,West
