,ghostUp,ghostDown,ghostLeft,ghostRight,wallUp,wallDown,wallLeft,wallRight,foodUp,foodDown,foodLeft,foodRight,emptyUp,emptyDown,emptyLeft,emptyRight,nearestFood,nearestGhost,nearestCapsule,legalPositionUp,legalPositionDown,legalPositionULeft,legalPositionRight,pacmanPositionX,pacmanPositionY,labelNextAction
67,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,1,1,1,1,0.058823529,0,TRUE,FALSE,TRUE,FALSE,0.9,0.142857143,North
,,,,,,,,,,,,,,,,,,,,,,,,,,
68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,1,1,1,1,0.052631579,0,TRUE,TRUE,FALSE,FALSE,0.9,0.285714286,North
,,,,,,,,,,,,,,,,,,,,,,,,,,
69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,1,1,1,1,0.052631579,0,TRUE,TRUE,FALSE,FALSE,0.9,0.428571429,North
,,,,,,,,,,,,,,,,,,,,,,,,,,
70,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,1,1,1,1,0.055555556,0,TRUE,TRUE,FALSE,FALSE,0.9,0.571428571,North
,,,,,,,,,,,,,,,,,,,,,,,,,,
71,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,1,1,1,0.5,0.066666667,0,FALSE,TRUE,TRUE,FALSE,0.9,0.714285714,West
,,,,,,,,,,,,,,,,,,,,,,,,,,
72,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,1,1,0.5,0.071428571,0,FALSE,FALSE,TRUE,TRUE,0.85,0.714285714,West
,,,,,,,,,,,,,,,,,,,,,,,,,,
73,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,1,1,0.5,0.090909091,0,FALSE,FALSE,TRUE,TRUE,0.8,0.714285714,West
,,,,,,,,,,,,,,,,,,,,,,,,,,
74,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,1,1,0.5,0.125,0,FALSE,TRUE,TRUE,TRUE,0.75,0.714285714,West
,,,,,,,,,,,,,,,,,,,,,,,,,,
75,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,1,1,0.5,0.125,0,FALSE,TRUE,TRUE,TRUE,0.7,0.714285714,West
,,,,,,,,,,,,,,,,,,,,,,,,,,
76,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,0.333333333,0.125,0,FALSE,TRUE,FALSE,TRUE,0.65,0.714285714,South
,,,,,,,,,,,,,,,,,,,,,,,,,,
77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,0.5,0.166666667,0,TRUE,TRUE,FALSE,TRUE,0.65,0.571428571,South
,,,,,,,,,,,,,,,,,,,,,,,,,,
78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,1,1,1,0.25,0,TRUE,TRUE,TRUE,FALSE,0.65,0.428571429,South
,,,,,,,,,,,,,,,,,,,,,,,,,,
79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,1,1,0.5,0.25,0,TRUE,TRUE,FALSE,FALSE,0.65,0.285714286,South
,,,,,,,,,,,,,,,,,,,,,,,,,,
80,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,1,1,1,1,0.25,0,TRUE,FALSE,TRUE,TRUE,0.65,0.142857143,West
,,,,,,,,,,,,,,,,,,,,,,,,,,
81,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,1,1,0.5,0.25,0,FALSE,FALSE,TRUE,TRUE,0.6,0.142857143,West
,,,,,,,,,,,,,,,,,,,,,,,,,,
82,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,1,1,0.5,0.142857143,0,FALSE,FALSE,TRUE,TRUE,0.55,0.142857143,West
,,,,,,,,,,,,,,,,,,,,,,,,,,
83,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,0.142857143,0.1,0,FALSE,FALSE,TRUE,TRUE,0.5,0.142857143,East
,,,,,,,,,,,,,,,,,,,,,,,,,,
84,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,0.2,0.111111111,0,FALSE,FALSE,TRUE,TRUE,0.55,0.142857143,East
,,,,,,,,,,,,,,,,,,,,,,,,,,
85,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,0.333333333,0.125,0,FALSE,FALSE,TRUE,TRUE,0.6,0.142857143,East
,,,,,,,,,,,,,,,,,,,,,,,,,,
86,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,1,1,1,0.166666667,0,TRUE,FALSE,TRUE,TRUE,0.65,0.142857143,East
,,,,,,,,,,,,,,,,,,,,,,,,,,
87,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,0.083333333,0.25,0,FALSE,FALSE,TRUE,TRUE,0.7,0.142857143,West
,,,,,,,,,,,,,,,,,,,,,,,,,,
88,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,0.1,0.25,0,TRUE,FALSE,TRUE,TRUE,0.65,0.142857143,West
,,,,,,,,,,,,,,,,,,,,,,,,,,
89,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,0.111111111,0.25,0,FALSE,FALSE,TRUE,TRUE,0.6,0.142857143,West
,,,,,,,,,,,,,,,,,,,,,,,,,,
90,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,0.111111111,0.125,0,FALSE,FALSE,TRUE,TRUE,0.55,0.142857143,West
,,,,,,,,,,,,,,,,,,,,,,,,,,
91,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,0.125,0.090909091,0,FALSE,FALSE,TRUE,TRUE,0.5,0.142857143,West
,,,,,,,,,,,,,,,,,,,,,,,,,,
92,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,0.142857143,0.076923077,0,FALSE,FALSE,TRUE,TRUE,0.45,0.142857143,West
,,,,,,,,,,,,,,,,,,,,,,,,,,
